customer_id,customer_name,city,city_tier,signup_date,gender,age
1,Pari Iyer,Hyderabad,Tier 1,2024-01-26,Male,24
2,Aditya Sharma,Vadodara,Tier 2,2024-03-30,Male,31
3,Nisha Reddy,Pune,Tier 1,2025-06-01,Female,32
4,Aarav Patel,Bhopal,Tier 2,2025-08-26,Female,39
5,Amit Kumar,Jaipur,Tier 2,2024-06-08,Male,42
6,Anika Verma,Hyderabad,Tier 1,2025-01-02,Female,52
7,Riya Das,Hyderabad,Tier 1,2025-01-22,Female,54
8,Myra Rao,Kolkata,Tier 1,2025-12-22,Male,32
9,Ramesh Patel,Hyderabad,Tier 1,2025-01-24,Female,40
10,Arjun Das,Kolkata,Tier 1,2025-11-17,Male,52
11,Navya Bansal,Pune,Tier 1,2024-06-16,Male,38
12,Rahul Chauhan,Delhi,Tier 1,2024-08-22,Female,22
13,Aadhya Kapoor,Kolkata,Tier 1,2025-08-03,Female,47
14,Nisha Bansal,Ahmedabad,Tier 2,2024-09-28,Female,55
15,Myra Singh,Indore,Tier 2,2025-08-20,Female,23
16,Ananya Joshi,Delhi,Tier 1,2026-05-31,Male,42
17,Anika Bansal,Nagpur,Tier 2,2025-09-02,Male,25
18,Amit Kumar,Vadodara,Tier 2,2026-02-07,Female,45
19,Anika Agarwal,Chennai,Tier 1,2025-04-09,Male,50
20,Deepak Das,Hyderabad,Tier 1,2025-10-02,Male,27
21,Suraj Sharma,Kanpur,Tier 2,2026-02-19,Female,49
22,Priya Iyer,Mumbai,Tier 1,2024-04-24,Male,33
23,Manish Gupta,Coimbatore,Tier 2,2024-03-21,Male,26
24,Suraj Das,Patna,Tier 3,2025-07-16,Female,31
25,Saanvi Rao,Vadodara,Tier 2,2026-02-12,Female,41
26,Pari Iyer,Bhopal,Tier 2,2025-06-13,Male,39
27,Meera Iyer,Mumbai,Tier 1,2025-08-25,Male,22
28,Aditya Mishra,Delhi,Tier 1,2024-08-22,Male,50
29,Aadhya Bansal,Pune,Tier 1,2024-10-12,Male,54
30,Karan Joshi,Coimbatore,Tier 2,2025-04-29,Male,24
31,Kavya Joshi,Hyderabad,Tier 1,2025-11-05,Female,21
32,Amit Kumar,Hyderabad,Tier 1,2024-03-03,Male,30
33,Kavya Patel,Kolkata,Tier 1,2025-07-03,Female,47
34,Nisha Kumar,Pune,Tier 1,2024-03-18,Male,52
35,Pooja Kapoor,Mumbai,Tier 1,2024-04-05,Female,31
36,Aarav Chauhan,Nagpur,Tier 2,2024-03-01,Female,47
37,Nisha Kapoor,Surat,Tier 2,2025-03-09,Male,30
38,Ankit Verma,Surat,Tier 2,2024-08-10,Female,21
39,Suraj Patel,Delhi,Tier 1,2025-08-21,Male,50
40,Tanvi Gupta,Bengaluru,Tier 1,2026-05-21,Male,43
41,Tanvi Verma,Hyderabad,Tier 1,2025-08-06,Male,44
42,Anika Reddy,Coimbatore,Tier 2,2025-08-01,Female,33
43,Priya Malhotra,Jaipur,Tier 2,2025-02-09,Female,22
44,Reyansh Gupta,Mumbai,Tier 1,2025-04-14,Male,50
45,Arjun Iyer,Jaipur,Tier 2,2024-05-15,Female,36
46,Priya Das,Chennai,Tier 1,2025-03-24,Male,53
47,Ishaan Nair,Surat,Tier 2,2025-11-10,Male,24
48,Tanvi Reddy,Vadodara,Tier 2,2024-06-08,Female,31
49,Vihaan Gupta,Jaipur,Tier 2,2025-06-01,Female,35
50,Ishaan Nair,Delhi,Tier 1,2024-01-04,Male,46
51,Aarav Kumar,Vadodara,Tier 2,2025-12-23,Male,27
52,Nisha Singh,Vadodara,Tier 2,2024-02-06,Female,26
53,Aditya Yadav,Delhi,Tier 1,2024-11-11,Male,33
54,Pooja Das,Hyderabad,Tier 1,2024-12-28,Male,33
55,Pooja Sharma,Chennai,Tier 1,2026-03-30,Male,39
56,Pari Nair,Indore,Tier 2,2026-04-01,Male,24
57,Saanvi Malhotra,Nagpur,Tier 2,2024-02-09,Female,37
58,Saanvi Chauhan,Pune,Tier 1,2024-08-16,Female,35
59,Deepak Chauhan,Bengaluru,Tier 1,2026-03-02,Female,19
60,Anika Verma,Hyderabad,Tier 1,2024-09-24,Male,45
61,Tanvi Agarwal,Kanpur,Tier 2,2026-01-16,Male,42
62,Kavya Sharma,Coimbatore,Tier 2,2024-07-13,Male,41
63,Amit Das,Indore,Tier 2,2024-03-12,Female,25
64,Pooja Mishra,Surat,Tier 2,2025-06-03,Female,36
65,Vikas Patel,Vadodara,Tier 2,2024-05-10,Female,43
66,Riya Reddy,Vadodara,Tier 2,2026-05-03,Female,55
67,Isha Malhotra,Guwahati,Tier 3,2025-11-01,Male,50
68,Sai Rao,Patna,Tier 3,2026-03-23,Female,23
69,Saanvi Singh,Pune,Tier 1,2025-11-19,Male,20
70,Arjun Malhotra,Pune,Tier 1,2025-05-01,Female,54
71,Manish Chauhan,Kolkata,Tier 1,2026-01-05,Male,27
72,Kavya Iyer,Mumbai,Tier 1,2026-02-07,Male,51
73,Krishna Malhotra,Bhopal,Tier 2,2024-02-21,Male,47
74,Isha Das,Ghaziabad,Tier 3,2025-07-26,Female,53
75,Karan Malhotra,Bhopal,Tier 2,2024-06-11,Female,33
76,Pari Nair,Jaipur,Tier 2,2026-02-23,Female,22
77,Rahul Bansal,Surat,Tier 2,2024-08-28,Male,26
78,Rohan Reddy,Ahmedabad,Tier 2,2024-08-24,Male,44
79,Pooja Verma,Indore,Tier 2,2024-12-04,Male,44
80,Vivaan Chatterjee,Nagpur,Tier 2,2026-02-27,Female,48
81,Vikas Joshi,Mumbai,Tier 1,2024-12-26,Male,49
82,Vivaan Chauhan,Pune,Tier 1,2024-10-06,Female,43
83,Ishaan Das,Chennai,Tier 1,2026-05-10,Male,43
84,Sai Joshi,Coimbatore,Tier 2,2025-07-31,Male,47
85,Rahul Reddy,Chennai,Tier 1,2024-02-21,Female,38
86,Pooja Nair,Lucknow,Tier 2,2026-02-18,Male,48
87,Suresh Iyer,Mumbai,Tier 1,2026-02-06,Male,20
88,Vivaan Das,Mumbai,Tier 1,2024-09-10,Male,33
89,Swati Reddy,Ahmedabad,Tier 2,2025-04-29,Female,34
90,Krishna Patel,Kanpur,Tier 2,2024-06-20,Female,24
91,Vikas Chauhan,Coimbatore,Tier 2,2024-01-27,Male,22
92,Reyansh Rao,Coimbatore,Tier 2,2025-12-08,Male,54
93,Ramesh Gupta,Delhi,Tier 1,2024-12-21,Female,18
94,Kavya Yadav,Indore,Tier 2,2026-04-22,Female,27
95,Navya Das,Indore,Tier 2,2024-06-29,Female,47
96,Navya Mishra,Indore,Tier 2,2026-04-25,Male,23
97,Sneha Chatterjee,Jaipur,Tier 2,2025-04-06,Female,39
98,Manish Reddy,Mumbai,Tier 1,2025-05-21,Female,34
99,Navya Bansal,Lucknow,Tier 2,2024-10-13,Male,51
100,Pooja Kapoor,Kolkata,Tier 1,2024-03-28,Male,48
101,Riya Iyer,Patna,Tier 3,2025-04-03,Female,33
102,Karan Bansal,Surat,Tier 2,2025-11-10,Female,45
103,Sneha Nair,Vadodara,Tier 2,2024-12-04,Female,34
104,Rahul Kumar,Pune,Tier 1,2024-05-03,Male,30
105,Meera Agarwal,Kolkata,Tier 1,2026-01-26,Female,24
106,Diya Rao,Kolkata,Tier 1,2024-10-30,Male,52
107,Nisha Rao,Ahmedabad,Tier 2,2024-10-07,Male,49
108,Karan Kapoor,Hyderabad,Tier 1,2024-01-13,Female,39
109,Karan Kumar,Chennai,Tier 1,2024-02-22,Male,43
110,Vihaan Singh,Patna,Tier 3,2024-03-16,Male,54
111,Nisha Joshi,Surat,Tier 2,2024-03-28,Male,51
112,Meera Joshi,Nagpur,Tier 2,2025-04-06,Female,54
113,Reyansh Reddy,Guwahati,Tier 3,2024-03-02,Male,34
114,Nisha Gupta,Bengaluru,Tier 1,2024-06-09,Male,18
115,Karan Rao,Indore,Tier 2,2025-04-06,Male,32
116,Sneha Gupta,Surat,Tier 2,2025-12-24,Male,34
117,Krishna Bansal,Coimbatore,Tier 2,2025-11-08,Male,27
118,Vihaan Patel,Jaipur,Tier 2,2026-04-26,Female,54
119,Priya Chauhan,Surat,Tier 2,2025-03-25,Female,50
120,Tanvi Verma,Vadodara,Tier 2,2025-05-20,Female,38
121,Myra Chatterjee,Guwahati,Tier 3,2024-09-13,Male,35
122,Suraj Malhotra,Coimbatore,Tier 2,2024-02-11,Female,29
123,Manish Gupta,Coimbatore,Tier 2,2025-03-22,Female,40
124,Reyansh Patel,Indore,Tier 2,2024-12-07,Female,44
125,Nisha Verma,Patna,Tier 3,2024-10-22,Female,23
126,Neha Agarwal,Lucknow,Tier 2,2024-09-15,Male,52
127,Suraj Yadav,Bhopal,Tier 2,2025-02-27,Female,46
128,Ishaan Rao,Delhi,Tier 1,2024-07-27,Female,49
129,Pari Patel,Hyderabad,Tier 1,2024-01-30,Female,53
130,Myra Kumar,Mumbai,Tier 1,2025-07-19,Female,25
131,Deepak Nair,Ahmedabad,Tier 2,2025-05-25,Female,48
132,Rohan Chauhan,Patna,Tier 3,2024-09-06,Male,50
133,Pooja Mishra,Ahmedabad,Tier 2,2024-03-12,Female,18
134,Meera Chatterjee,Surat,Tier 2,2026-01-13,Female,27
135,Amit Bansal,Bhopal,Tier 2,2025-07-05,Female,47
136,Swati Chauhan,Lucknow,Tier 2,2024-07-12,Male,44
137,Vikas Chauhan,Delhi,Tier 1,2024-11-21,Male,49
138,Amit Kumar,Delhi,Tier 1,2024-05-09,Female,24
139,Rohan Joshi,Ghaziabad,Tier 3,2025-04-12,Male,22
140,Yash Chauhan,Patna,Tier 3,2026-03-11,Male,39
141,Manish Bansal,Vadodara,Tier 2,2025-01-24,Male,22
142,Riya Iyer,Pune,Tier 1,2025-10-08,Male,45
143,Reyansh Malhotra,Hyderabad,Tier 1,2026-02-17,Male,37
144,Vihaan Rao,Mumbai,Tier 1,2024-02-17,Female,41
145,Pooja Chatterjee,Indore,Tier 2,2024-05-29,Male,28
146,Vikas Das,Chennai,Tier 1,2024-03-21,Male,49
147,Anika Malhotra,Coimbatore,Tier 2,2024-05-26,Female,18
148,Ananya Gupta,Bhopal,Tier 2,2024-10-21,Female,40
149,Anika Malhotra,Coimbatore,Tier 2,2024-11-02,Female,30
150,Pari Chauhan,Nagpur,Tier 2,2026-05-23,Female,54
